Element,Instances,DimX,DimY,DimZ,Layer,ColorR,ColorG,ColorB
Kitchen,1,72.0,48.0,12,01_INTERIOR,200,200,200
Bar,1,135.0,33.75,4,01_INTERIOR,139,69,19
Patio,1,26.0,26.0,1,02_EXTERIOR,150,150,150
Bathroom,1,14.5,14.5,10,01_INTERIOR,255,250,240
Display,25,15.0,4.0,5,03_FIXTURES,255,182,193
Seating,36,5.0,5.0,3,03_FIXTURES,160,82,45
Window,16,1.0,10.0,15,04_ENCLOSURE,173,216,230
Ceiling,1,175.0,175.0,2,04_ENCLOSURE,255,255,255
Marble,1,82.5,82.5,1,05_FINISHES,245,245,245
Oven,1,8.4,8.4,8,01_INTERIOR,178,34,34
Patisserie,1,31.0,7.75,4,03_FIXTURES,255,228,225
Flower,5,2.0,2.0,3,03_FIXTURES,255,20,147
Wall,18,2.0,20.0,20,04_ENCLOSURE,255,255,255
Gold,10,1.0,1.0,1,05_FINISHES,212,175,55
