image,out,painted_area_fraction,error
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775589552807.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775589552807.json,0.8843,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775589773236.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775589773236.json,0.3978,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590162274.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590162274.json,0.9769,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590622731.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590622731.json,0.7750,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590646992.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590646992.json,0.2832,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590744429.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590744429.json,0.8022,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590770250.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590770250.json,0.7489,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590808684.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590808684.json,0.0780,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590887030.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590887030.json,0.9396,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590911413.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590911413.json,0.6444,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775590961802.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775590961802.json,0.1694,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775591035122.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775591035122.json,0.4086,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775591601971.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775591601971.json,0.7287,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775591769305.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775591769305.json,0.3556,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775592232998.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775592232998.json,0.3250,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775592510629.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775592510629.json,0.2750,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775592571410.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775592571410.json,0.8563,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775593346726.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775593346726.json,0.4993,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775593396468.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775593396468.json,0.9739,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775594499613.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775594499613.json,0.7948,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775595144393.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775595144393.json,0.8425,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775595179341.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775595179341.json,0.4526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775595207798.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775595207798.json,0.3586,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775595245307.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775595245307.json,0.3556,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775595283921.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775595283921.json,0.7131,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596350072.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596350072.json,0.1537,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596397649.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596397649.json,0.9183,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596571195.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596571195.json,0.4515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596660615.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596660615.json,0.9071,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596699053.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596699053.json,0.6918,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596810386.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596810386.json,0.3739,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775596994916.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775596994916.json,0.7634,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775597474413.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775597474413.json,0.8317,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775597699109.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775597699109.json,0.2832,
